	log_likelihood
1479	222.36801
1480	312.94412
1481	302.51578
1482	145.74773
1483	146.06058
1484	268.65488
1485	289.75952
1486	303.33725
1487	314.76825
1488	292.4788
1489	275.03998
1490	302.23456
1491	293.71994
1492	293.30743
1493	298.9322
1494	234.98218
1495	221.5061
1496	223.14307
1497	269.6623
1498	266.47852
1499	308.86313
1500	247.96318
1501	301.9383
1502	274.19208
1503	303.46576
1504	293.78696
1505	335.25952
1506	321.04694
1507	317.35562
1508	314.85605
1509	280.4743
1510	320.49957
1511	271.1884
1512	259.35904
1513	224.55481
1514	319.649
1515	239.07588
1516	291.54266
1517	311.88818
1518	306.3711
1519	299.4052
1520	293.02927
1521	324.26352
1522	296.8615
1523	309.70282
1524	265.3657
1525	319.4142
1526	202.38704
1527	166.72153
1528	316.6489
1529	280.63544
1530	279.15173
1531	249.53146
1532	264.1541
1533	239.10283
1534	304.18204
1535	277.54337
1536	268.07806
1537	282.84286
1538	298.7857
1539	266.47168
1540	330.10406
1541	277.0687
1542	292.5783
1543	306.08572
1544	146.8681
1545	268.92255
1546	260.92303
1547	224.00089
1548	235.379
1549	305.5821
1550	328.56955
1551	308.54578
1552	323.06744
1553	314.04532
1554	318.36917
1555	275.46597
1556	266.3741
1557	316.79984
1558	300.0418
1559	223.68176
1560	306.3069
1561	319.34363
1562	283.39642
1563	262.59375
1564	257.8388
1565	225.13753
1566	289.2033
1567	298.84448
1568	324.70233
1569	304.82242
1570	255.36308
1571	231.9067
1572	296.85043
1573	313.2922
1574	264.88086
1575	296.68826
1576	304.56534
1577	276.17398
1578	292.8048
1579	263.58557
1580	290.20502
1581	315.1358
1582	306.3951
1583	213.21489
1584	326.18393
1585	290.72882
1586	309.3056
1587	189.66663
1588	314.22183
1589	284.7326
1590	320.14862
1591	229.01823
1592	320.52893
1593	254.73714
1594	270.6847
1595	287.0435
1596	308.73746
1597	318.03802
1598	279.60373
1599	168.97885
1600	301.2779
1601	308.98215
1602	297.04352
1603	232.5795
1604	309.6961
1605	301.80215
1606	291.00735
1607	293.65326
1608	259.93643
1609	180.84062
1610	306.34708
1611	310.0216
1612	302.1701
1613	127.570885
1614	318.07916
1615	277.03302
1616	302.9941
1617	308.08984
1618	278.8333
1619	327.5104
1620	278.96786
1621	257.66046
1622	283.854
1623	337.17752
1624	267.21292
1625	265.84567
1626	315.25684
1627	248.59537
1628	321.81216
1629	342.39975
1630	232.77388
1631	303.28973
1632	259.73798
1633	226.83536
1634	291.22134
1635	285.59122
1636	314.333
1637	307.91333
1638	266.1546
1639	266.1473
1640	302.56842
1641	261.5686
1642	268.79355
1643	282.95535
1644	240.19675
1645	296.97937
1646	256.71698
1647	300.4693
1648	323.88885
1649	300.14877
1650	298.74347
1651	290.63885
1652	245.51877
1653	328.4601
1654	255.12029
1655	287.08408
1656	227.56357
1657	308.65
1658	277.747
1659	320.76846
1660	265.7222
1661	290.10352
1662	300.39478
1663	292.20023
1664	320.18985
1665	328.90314
1666	233.751
1667	291.5745
1668	266.13477
1669	282.8305
1670	320.7359
1671	301.15753
1672	263.2779
1673	304.24033
1674	281.9651
1675	314.15033
