	log_likelihood
1607	296.4665
1608	265.9313
1609	174.13802
1610	305.70663
1611	307.49554
1612	298.30774
1613	119.09276
1614	315.58926
1615	281.4836
1616	302.5097
1617	306.3644
1618	277.3903
1619	326.1792
1620	280.69562
1621	260.02454
1622	278.23547
1623	332.8192
1624	273.58783
1625	267.5932
1626	316.70337
1627	251.54471
1628	322.9017
1629	335.78513
1630	235.15166
1631	307.92047
1632	252.00754
1633	222.65019
1634	290.8481
1635	284.6883
1636	316.53815
1637	303.75848
1638	260.08774
1639	268.53702
1640	300.41888
1641	266.66977
1642	272.15063
1643	282.11496
1644	236.21817
1645	302.97833
1646	256.812
1647	299.01175
1648	325.47855
1649	298.52148
1650	295.0992
1651	287.8855
1652	239.77556
1653	324.54312
1654	260.19067
1655	285.43173
1656	227.61919
1657	309.0689
1658	279.79288
1659	323.28488
1660	268.14545
1661	286.96628
1662	299.53473
1663	292.67227
1664	319.00705
1665	323.19373
1666	233.61255
1667	290.91702
1668	264.8715
1669	283.83408
1670	323.355
1671	304.91025
1672	262.98154
1673	306.4516
1674	278.84702
1675	311.1125
1676	296.14807
1677	274.47595
1678	263.10608
1679	318.16006
1680	225.7382
1681	264.3548
1682	307.49045
1683	130.75487
1684	289.16324
1685	162.04509
1686	318.57025
1687	315.11914
1688	256.29788
1689	308.89267
1690	94.95628
1691	105.70146
1692	312.002
1693	38.382545
1694	324.64886
1695	304.267
1696	282.87823
1697	312.28693
1698	268.31738
1699	213.94914
1700	297.13336
1701	246.40408
1702	255.05038
1703	251.96622
1704	323.5292
1705	252.2719
1706	227.87045
1707	308.42538
1708	284.1915
1709	215.57407
1710	266.95648
1711	325.0048
1712	282.7724
1713	295.00696
1714	280.285
1715	284.83002
1716	272.2902
1717	103.12042
1718	270.259
1719	318.14163
1720	252.61118
1721	216.62
1722	248.16821
1723	284.81006
1724	314.42133
1725	314.64972
1726	317.46744
1727	243.98093
1728	299.0411
1729	319.0545
1730	310.3972
1731	221.73862
1732	305.485
1733	306.51947
1734	236.90239
1735	297.54205
1736	247.32556
1737	298.87442
1738	321.6522
1739	268.17722
1740	261.50156
1741	318.41693
1742	263.77374
1743	298.65204
1744	273.4151
1745	304.43787
1746	299.51187
1747	249.7426
1748	302.91925
1749	292.27533
1750	231.40805
1751	297.88458
1752	316.87677
1753	328.23212
1754	215.68777
1755	141.43073
1756	222.40073
1757	318.38287
1758	298.05545
1759	304.26694
1760	301.34897
1761	209.60127
1762	316.46936
1763	322.83728
1764	303.49527
1765	284.50772
1766	274.98425
1767	166.06088
1768	302.12628
1769	290.46735
1770	306.5025
1771	236.64888
1772	309.96332
1773	192.51343
1774	296.9621
1775	320.81778
1776	278.3824
1777	298.40796
1778	278.6147
1779	258.94977
1780	246.19934
1781	289.13824
1782	216.0612
1783	279.34933
1784	307.3489
1785	310.16702
1786	293.2607
1787	321.83774
1788	253.05234
1789	263.37933
1790	315.595
1791	304.2863
1792	267.21307
1793	301.12216
1794	307.2231
1795	271.97302
1796	306.9551
1797	299.2333
1798	299.58212
1799	280.10333
1800	306.95737
1801	334.79456
1802	305.29172
1803	305.78607
1804	269.45953
1805	295.2065
1806	295.90482
1807	308.79736
1808	277.40015
1809	196.50569
1810	237.521
1811	211.76608
1812	306.96564
1813	305.14862
1814	307.1938
1815	282.51642
1816	323.13257
1817	279.56973
1818	231.20532
1819	280.4877
1820	314.11444
1821	279.4147
1822	260.4865
1823	319.82526
1824	318.26892
1825	306.92865
1826	315.85092
1827	289.52374
1828	295.85605
1829	274.78036
1830	320.4651
1831	285.826
1832	281.68866
1833	292.6966
1834	280.79834
1835	291.53867
1836	237.09383
1837	290.40677
1838	305.4721
1839	314.42114
1840	291.0378
1841	264.17358
1842	311.03915
1843	316.00342
1844	318.24713
1845	283.2733
1846	263.41376
1847	270.7938
1848	218.09946
1849	319.19727
1850	302.06277
1851	281.2321
1852	301.0392
1853	304.1402
1854	279.64374
1855	289.5327
1856	301.52692
1857	301.31458
1858	182.50139
1859	270.57864
1860	301.02563
1861	304.6037
1862	308.21362
1863	326.1679
1864	322.4521
1865	288.73346
1866	325.6872
1867	312.11166
1868	282.977
1869	295.6843
1870	285.14703
1871	223.62468
1872	296.42902
1873	288.27036
1874	330.89362
1875	220.98592
